Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Bauska;13.04 12:00;+12.2;+11.2;+11.7;0.0;2.7;4.4;3400;19208;0.0;757.4;+4.5;60;;
Dagda;13.04 12:00;;;+11.8;;;;;20000;0.0;758.8;+0.4;45;;
Daugavgrīva;13.04 12:00;+11.8;+7.2;+8.6;0.0;2.8;6.0;20000;20000;0.0;757.8;+4.1;73;;
Daugavpils;13.04 12:00;+13.2;+12.5;+12.8;0.0;0.9;3.4;19860;20000;0.0;758.3;+3.2;51;0.0;
Dobele;13.04 12:00;+13.0;+11.8;+12.4;0.0;4.2;6.5;9760;20000;0.0;757.5;+6.4;65;0.0;
Gulbene;13.04 12:00;+14.3;+12.8;+13.6;0.0;5.2;7.6;19190;20000;0.0;759.2;+0.5;40;;
Jelgava;13.04 12:00;+12.4;+11.9;+12.2;0.0;4.2;5.8;19750;20000;0.0;757.6;+3.5;55;;
Kalnciems;13.04 12:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 12:00;+10.1;+6.6;+9.0;0.0;5.4;9.6;19470;20000;0.0;758.8;+2.1;63;0.0;
Kuldīga;13.04 12:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 12:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 12:00;+10.4;+10.1;+10.3;0.0;1.8;4.0;8230;20000;0.0;757.4;+7.9;85;0.0;lietus
Madona;13.04 12:00;+13.6;+12.5;+13.0;0.0;2.7;6.1;20000;20000;0.0;758.7;+0.9;42;;
Mērsrags;13.04 12:00;+9.7;+8.5;+9.1;0.0;2.5;6.8;15230;20000;0.0;758.3;+3.1;69;;
Pāvilosta;13.04 12:00;+11.2;+10.5;+10.8;0.0;1.4;4.0;19920;20000;0.0;757.6;+7.5;79;;smidzināšana
Piedruja;13.04 12:00;;;;;;;;;0.0;;;;;
Priekuļi;13.04 12:00;+14.0;+12.6;+13.2;0.0;2.6;5.6;11030;20000;0.0;758.8;+1.5;43;;
Rēzekne;13.04 12:00;+12.8;+12.2;+12.4;0.0;3.1;6.3;20000;20000;0.0;758.8;+0.6;44;;
Rīga;13.04 12:00;+13.3;+12.7;+12.9;0.0;2.6;6.6;12920;15360;0.0;757.9;+2.1;47;0.0;
Rucava;13.04 12:00;+9.7;+9.4;+9.5;0.0;2.4;4.4;16250;20000;0.0;757.2;+7.9;89;;lietus
Rūjiena;13.04 12:00;+12.2;+11.4;+11.6;0.0;4.5;7.1;20000;20000;0.0;759.5;+2.8;53;;
Saldus;13.04 12:00;+13.1;+11.1;+12.1;0.0;3.9;5.6;12180;20000;0.0;757.4;+5.1;59;;
Sigulda;13.04 12:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 12:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 12:00;+13.7;+12.4;+12.8;0.0;3.1;5.9;18970;20000;0.0;757.9;+1.8;46;;
Skulte;13.04 12:00;+13.0;+12.2;+12.5;0.0;3.3;5.6;19950;20000;0.0;758.3;+2.2;48;;
Stende;13.04 12:00;+12.3;+10.8;+11.7;0.0;3.8;7.0;11460;19203;0.0;758.2;+6.8;72;;
Ventspils;13.04 12:00;+11.6;+11.0;+11.3;0.0;2.2;5.5;13230;19822;0.0;757.9;+7.4;76;;lietus; smidzināšana
Vičaki;13.04 12:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 12:00;+13.4;+12.4;+13.2;0.0;2.4;5.7;17270;20000;0.0;758.2;+1.3;44;;
Zosēni;13.04 12:00;+13.6;+11.6;+12.6;0.0;3.5;6.2;20000;20000;0.0;758.7;+0.6;42;0.3;
