Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Stende;13.04 15:00;+13.6;+12.8;+13.2;0.0;4.4;6.9;3040;19208;0.0;758.0;+2.9;50;;
Ventspils;13.04 15:00;+11.3;+8.4;+9.7;0.0;4.6;8.0;8460;20000;0.0;757.8;+5.0;76;;
Vičaki;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 15:00;+14.2;+13.5;+13.8;0.0;3.3;7.7;5160;20000;0.0;759.0;-0.2;38;;
Zosēni;13.04 15:00;+15.0;+14.7;+14.8;0.0;4.3;9.4;20000;20000;0.0;759.2;-0.3;36;0.0;
Ainaži;13.04 14:00;+14.0;+13.5;+13.7;0.0;7.0;10.2;20000;20000;0.0;759.4;+2.6;47;;
Alūksne;13.04 14:00;+15.4;+13.4;+14.7;0.0;4.1;8.5;19990;20000;0.0;759.9;-0.9;33;0.9;
Bauska;13.04 14:00;+14.0;+13.5;+13.8;0.0;3.4;5.8;17520;20000;0.0;758.2;+4.8;55;;
Dagda;13.04 14:00;+13.9;+12.7;+13.2;0.0;1.5;3.8;8820;20000;0.0;758.8;+0.4;40;;
Daugavgrīva;13.04 14:00;+9.4;+8.7;+9.0;0.0;3.2;5.3;20000;20000;0.0;757.9;+5.1;78;;
Daugavpils;13.04 14:00;+14.9;+13.4;+14.3;0.0;2.2;6.4;20000;20000;0.0;758.5;+2.2;43;0.2;
Dobele;13.04 14:00;+15.2;+13.8;+14.4;0.0;6.2;9.4;19840;20000;0.0;757.9;+3.8;51;0.0;
Gulbene;13.04 14:00;+16.5;+15.4;+16.1;0.0;5.6;10.8;5870;18255;0.0;759.2;-0.5;32;;
Jelgava;13.04 14:00;+14.4;+13.0;+13.7;0.0;3.1;5.8;11030;20000;0.0;758.2;+4.8;53;;
Kolka;13.04 14:00;+8.1;+7.1;+7.5;0.0;6.1;10.7;15900;20000;0.0;758.6;+3.3;72;0.4;
Kuldīga;13.04 14:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 14:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 14:00;+14.3;+11.8;+13.0;0.0;2.1;6.5;7150;20000;0.0;757.1;+7.4;64;0.4;
Madona;13.04 14:00;+15.2;+14.2;+14.5;0.0;2.6;6.7;20000;20000;0.0;759.2;+0.4;38;;
Mērsrags;13.04 14:00;+10.1;+7.9;+9.0;0.0;3.8;6.6;9650;20000;0.0;758.3;+3.4;64;;
Pāvilosta;13.04 14:00;+13.9;+11.9;+12.7;0.0;1.5;3.0;19490;20000;0.0;757.5;+7.4;65;;
Piedruja;13.04 14:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 14:00;+15.4;+14.7;+14.9;0.0;3.9;8.0;15420;20000;0.0;759.0;+1.2;40;;
Rēzekne;13.04 14:00;+14.5;+13.8;+14.1;0.0;2.8;6.7;12190;20000;0.0;759.3;-0.4;37;;
Rīga;13.04 14:00;+16.4;+14.3;+15.3;;3.8;;12210;14697;0.0;757.9;+2.5;40;;
Rucava;13.04 14:00;+13.1;+11.5;+12.2;0.0;3.8;6.1;18690;20000;0.0;756.7;+8.4;75;;
Rūjiena;13.04 14:00;+14.4;+13.6;+14.0;0.0;6.3;8.6;17410;20000;0.0;759.9;+2.1;44;;
Saldus;13.04 14:00;+13.9;+12.6;+13.0;0.0;4.0;8.2;15550;20000;0.0;757.3;+4.3;53;;
Sigulda;13.04 14:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 14:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 14:00;+14.8;+13.8;+14.3;0.0;3.9;7.8;7540;16653;0.0;758.5;+2.0;43;;
Skulte;13.04 14:00;+16.4;+14.4;+15.1;0.0;3.5;7.5;18190;20000;0.0;758.2;+2.7;40;;
Stende;13.04 14:00;+13.1;+11.9;+12.6;0.0;3.8;8.1;8160;20000;0.0;757.8;+3.0;51;;
Ventspils;13.04 14:00;+9.3;+8.2;+8.7;0.0;4.9;6.1;18230;20000;0.0;758.2;+5.9;82;;
Vičaki;13.04 14:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 14:00;+13.6;+13.1;+13.3;0.0;2.6;5.8;6740;19942;0.0;759.1;+2.1;46;;
Zosēni;13.04 14:00;+15.5;+14.4;+15.1;0.0;5.3;9.7;20000;20000;0.0;759.1;+0.0;36;0.3;
